 81 648
  0   1   2   3   4   5   6   7   8 
  9  10  11  12  13  14  15  16  17 
 18  19  20  21  22  23  24  25  26 
 27  28  29  30  31  32  33  34  35 
 36  37  38  39  40  41  42  43  44 
 45  46  47  48  49  50  51  52  53 
 54  55  56  57  58  59  60  61  62 
 63  64  65  66  67  68  69  70  71 
 72  73  74  75  76  77  78  79  80 

  8   7   6   5   4   3   2   1   0 
 17  16  15  14  13  12  11  10   9 
 26  25  24  23  22  21  20  19  18 
 35  34  33  32  31  30  29  28  27 
 44  43  42  41  40  39  38  37  36 
 53  52  51  50  49  48  47  46  45 
 62  61  60  59  58  57  56  55  54 
 71  70  69  68  67  66  65  64  63 
 80  79  78  77  76  75  74  73  72 

 72  73  74  75  76  77  78  79  80 
 63  64  65  66  67  68  69  70  71 
 54  55  56  57  58  59  60  61  62 
 45  46  47  48  49  50  51  52  53 
 36  37  38  39  40  41  42  43  44 
 27  28  29  30  31  32  33  34  35 
 18  19  20  21  22  23  24  25  26 
  9  10  11  12  13  14  15  16  17 
  0   1   2   3   4   5   6   7   8 

 80  79  78  77  76  75  74  73  72 
 71  70  69  68  67  66  65  64  63 
 62  61  60  59  58  57  56  55  54 
 53  52  51  50  49  48  47  46  45 
 44  43  42  41  40  39  38  37  36 
 35  34  33  32  31  30  29  28  27 
 26  25  24  23  22  21  20  19  18 
 17  16  15  14  13  12  11  10   9 
  8   7   6   5   4   3   2   1   0 

  0   9  18  27  36  45  54  63  72 
  1  10  19  28  37  46  55  64  73 
  2  11  20  29  38  47  56  65  74 
  3  12  21  30  39  48  57  66  75 
  4  13  22  31  40  49  58  67  76 
  5  14  23  32  41  50  59  68  77 
  6  15  24  33  42  51  60  69  78 
  7  16  25  34  43  52  61  70  79 
  8  17  26  35  44  53  62  71  80 

 72  63  54  45  36  27  18   9   0 
 73  64  55  46  37  28  19  10   1 
 74  65  56  47  38  29  20  11   2 
 75  66  57  48  39  30  21  12   3 
 76  67  58  49  40  31  22  13   4 
 77  68  59  50  41  32  23  14   5 
 78  69  60  51  42  33  24  15   6 
 79  70  61  52  43  34  25  16   7 
 80  71  62  53  44  35  26  17   8 

  8  17  26  35  44  53  62  71  80 
  7  16  25  34  43  52  61  70  79 
  6  15  24  33  42  51  60  69  78 
  5  14  23  32  41  50  59  68  77 
  4  13  22  31  40  49  58  67  76 
  3  12  21  30  39  48  57  66  75 
  2  11  20  29  38  47  56  65  74 
  1  10  19  28  37  46  55  64  73 
  0   9  18  27  36  45  54  63  72 

 80  71  62  53  44  35  26  17   8 
 79  70  61  52  43  34  25  16   7 
 78  69  60  51  42  33  24  15   6 
 77  68  59  50  41  32  23  14   5 
 76  67  58  49  40  31  22  13   4 
 75  66  57  48  39  30  21  12   3 
 74  65  56  47  38  29  20  11   2 
 73  64  55  46  37  28  19  10   1 
 72  63  54  45  36  27  18   9   0 

  1   2   3   4   5   6   7   8   0 
 10  11  12  13  14  15  16  17   9 
 19  20  21  22  23  24  25  26  18 
 28  29  30  31  32  33  34  35  27 
 37  38  39  40  41  42  43  44  36 
 46  47  48  49  50  51  52  53  45 
 55  56  57  58  59  60  61  62  54 
 64  65  66  67  68  69  70  71  63 
 73  74  75  76  77  78  79  80  72 

  0   8   7   6   5   4   3   2   1 
  9  17  16  15  14  13  12  11  10 
 18  26  25  24  23  22  21  20  19 
 27  35  34  33  32  31  30  29  28 
 36  44  43  42  41  40  39  38  37 
 45  53  52  51  50  49  48  47  46 
 54  62  61  60  59  58  57  56  55 
 63  71  70  69  68  67  66  65  64 
 72  80  79  78  77  76  75  74  73 

 73  74  75  76  77  78  79  80  72 
 64  65  66  67  68  69  70  71  63 
 55  56  57  58  59  60  61  62  54 
 46  47  48  49  50  51  52  53  45 
 37  38  39  40  41  42  43  44  36 
 28  29  30  31  32  33  34  35  27 
 19  20  21  22  23  24  25  26  18 
 10  11  12  13  14  15  16  17   9 
  1   2   3   4   5   6   7   8   0 

 72  80  79  78  77  76  75  74  73 
 63  71  70  69  68  67  66  65  64 
 54  62  61  60  59  58  57  56  55 
 45  53  52  51  50  49  48  47  46 
 36  44  43  42  41  40  39  38  37 
 27  35  34  33  32  31  30  29  28 
 18  26  25  24  23  22  21  20  19 
  9  17  16  15  14  13  12  11  10 
  0   8   7   6   5   4   3   2   1 

  9  18  27  36  45  54  63  72   0 
 10  19  28  37  46  55  64  73   1 
 11  20  29  38  47  56  65  74   2 
 12  21  30  39  48  57  66  75   3 
 13  22  31  40  49  58  67  76   4 
 14  23  32  41  50  59  68  77   5 
 15  24  33  42  51  60  69  78   6 
 16  25  34  43  52  61  70  79   7 
 17  26  35  44  53  62  71  80   8 

  0  72  63  54  45  36  27  18   9 
  1  73  64  55  46  37  28  19  10 
  2  74  65  56  47  38  29  20  11 
  3  75  66  57  48  39  30  21  12 
  4  76  67  58  49  40  31  22  13 
  5  77  68  59  50  41  32  23  14 
  6  78  69  60  51  42  33  24  15 
  7  79  70  61  52  43  34  25  16 
  8  80  71  62  53  44  35  26  17 

 17  26  35  44  53  62  71  80   8 
 16  25  34  43  52  61  70  79   7 
 15  24  33  42  51  60  69  78   6 
 14  23  32  41  50  59  68  77   5 
 13  22  31  40  49  58  67  76   4 
 12  21  30  39  48  57  66  75   3 
 11  20  29  38  47  56  65  74   2 
 10  19  28  37  46  55  64  73   1 
  9  18  27  36  45  54  63  72   0 

  8  80  71  62  53  44  35  26  17 
  7  79  70  61  52  43  34  25  16 
  6  78  69  60  51  42  33  24  15 
  5  77  68  59  50  41  32  23  14 
  4  76  67  58  49  40  31  22  13 
  3  75  66  57  48  39  30  21  12 
  2  74  65  56  47  38  29  20  11 
  1  73  64  55  46  37  28  19  10 
  0  72  63  54  45  36  27  18   9 

  2   3   4   5   6   7   8   0   1 
 11  12  13  14  15  16  17   9  10 
 20  21  22  23  24  25  26  18  19 
 29  30  31  32  33  34  35  27  28 
 38  39  40  41  42  43  44  36  37 
 47  48  49  50  51  52  53  45  46 
 56  57  58  59  60  61  62  54  55 
 65  66  67  68  69  70  71  63  64 
 74  75  76  77  78  79  80  72  73 

  1   0   8   7   6   5   4   3   2 
 10   9  17  16  15  14  13  12  11 
 19  18  26  25  24  23  22  21  20 
 28  27  35  34  33  32  31  30  29 
 37  36  44  43  42  41  40  39  38 
 46  45  53  52  51  50  49  48  47 
 55  54  62  61  60  59  58  57  56 
 64  63  71  70  69  68  67  66  65 
 73  72  80  79  78  77  76  75  74 

