121 968
  0   1   2   3   4   5   6   7   8   9  10 
 11  12  13  14  15  16  17  18  19  20  21 
 22  23  24  25  26  27  28  29  30  31  32 
 33  34  35  36  37  38  39  40  41  42  43 
 44  45  46  47  48  49  50  51  52  53  54 
 55  56  57  58  59  60  61  62  63  64  65 
 66  67  68  69  70  71  72  73  74  75  76 
 77  78  79  80  81  82  83  84  85  86  87 
 88  89  90  91  92  93  94  95  96  97  98 
 99 100 101 102 103 104 105 106 107 108 109 
110 111 112 113 114 115 116 117 118 119 120 

 10   9   8   7   6   5   4   3   2   1   0 
 21  20  19  18  17  16  15  14  13  12  11 
 32  31  30  29  28  27  26  25  24  23  22 
 43  42  41  40  39  38  37  36  35  34  33 
 54  53  52  51  50  49  48  47  46  45  44 
 65  64  63  62  61  60  59  58  57  56  55 
 76  75  74  73  72  71  70  69  68  67  66 
 87  86  85  84  83  82  81  80  79  78  77 
 98  97  96  95  94  93  92  91  90  89  88 
109 108 107 106 105 104 103 102 101 100  99 
120 119 118 117 116 115 114 113 112 111 110 

110 111 112 113 114 115 116 117 118 119 120 
 99 100 101 102 103 104 105 106 107 108 109 
 88  89  90  91  92  93  94  95  96  97  98 
 77  78  79  80  81  82  83  84  85  86  87 
 66  67  68  69  70  71  72  73  74  75  76 
 55  56  57  58  59  60  61  62  63  64  65 
 44  45  46  47  48  49  50  51  52  53  54 
 33  34  35  36  37  38  39  40  41  42  43 
 22  23  24  25  26  27  28  29  30  31  32 
 11  12  13  14  15  16  17  18  19  20  21 
  0   1   2   3   4   5   6   7   8   9  10 

120 119 118 117 116 115 114 113 112 111 110 
109 108 107 106 105 104 103 102 101 100  99 
 98  97  96  95  94  93  92  91  90  89  88 
 87  86  85  84  83  82  81  80  79  78  77 
 76  75  74  73  72  71  70  69  68  67  66 
 65  64  63  62  61  60  59  58  57  56  55 
 54  53  52  51  50  49  48  47  46  45  44 
 43  42  41  40  39  38  37  36  35  34  33 
 32  31  30  29  28  27  26  25  24  23  22 
 21  20  19  18  17  16  15  14  13  12  11 
 10   9   8   7   6   5   4   3   2   1   0 

  0  11  22  33  44  55  66  77  88  99 110 
  1  12  23  34  45  56  67  78  89 100 111 
  2  13  24  35  46  57  68  79  90 101 112 
  3  14  25  36  47  58  69  80  91 102 113 
  4  15  26  37  48  59  70  81  92 103 114 
  5  16  27  38  49  60  71  82  93 104 115 
  6  17  28  39  50  61  72  83  94 105 116 
  7  18  29  40  51  62  73  84  95 106 117 
  8  19  30  41  52  63  74  85  96 107 118 
  9  20  31  42  53  64  75  86  97 108 119 
 10  21  32  43  54  65  76  87  98 109 120 

110  99  88  77  66  55  44  33  22  11   0 
111 100  89  78  67  56  45  34  23  12   1 
112 101  90  79  68  57  46  35  24  13   2 
113 102  91  80  69  58  47  36  25  14   3 
114 103  92  81  70  59  48  37  26  15   4 
115 104  93  82  71  60  49  38  27  16   5 
116 105  94  83  72  61  50  39  28  17   6 
117 106  95  84  73  62  51  40  29  18   7 
118 107  96  85  74  63  52  41  30  19   8 
